,GAME_ID,PLAYER_ID,PLAYER_NAME_LAST_FIRST_home,TEAM_NAME_home,TEAM_ID_home,TEAM_ABBREVIATION_home,PASS_TYPE_home,G_home,PASS_TO_home,PASS_TEAMMATE_PLAYER_ID_home,FREQUENCY_home,PASS_home,AST_home,FGM_home,FGA_home,FG_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,PLAYER_NAME_LAST_FIRST_away,TEAM_NAME_away,TEAM_ID_away,TEAM_ABBREVIATION_away,PASS_TYPE_away,G_away,PASS_TO_away,PASS_TEAMMATE_PLAYER_ID_away,FREQUENCY_away,PASS_away,AST_away,FGM_away,FGA_away,FG_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,POSITION,mean,std,FREQUENCY
0,21900304,200794,"Millsap, Paul",Denver Nuggets,1610612743,DEN,made,1,"Murray, Jamal",1627750,0.438,14,1,1,1,1.0,1,1,1.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Paul Millsap,nan,F,nan,29:59:00,8.0,14.0,0.571,2.0,3.0,0.667,3.0,3.0,1.0,2.0,6.0,8.0,2.0,1.0,1.0,3.0,4.0,21.0,-2.0,Forward,0.08277631578947353,0.09808825939951168,3.621469953541605
1,21900304,200794,"Millsap, Paul",Denver Nuggets,1610612743,DEN,made,1,"Jokic, Nikola",203999,0.25,8,0,0,2,0.0,0,1,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Paul Millsap,nan,F,nan,29:59:00,8.0,14.0,0.571,2.0,3.0,0.667,3.0,3.0,1.0,2.0,6.0,8.0,2.0,1.0,1.0,3.0,4.0,21.0,-2.0,Forward,0.08277631578947353,0.09808825939951168,1.7048287453998696
2,21900304,200794,"Millsap, Paul",Denver Nuggets,1610612743,DEN,made,1,"Harris, Gary",203914,0.156,5,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Paul Millsap,nan,F,nan,29:59:00,8.0,14.0,0.571,2.0,3.0,0.667,3.0,3.0,1.0,2.0,6.0,8.0,2.0,1.0,1.0,3.0,4.0,21.0,-2.0,Forward,0.08277631578947353,0.09808825939951168,0.7465081413290019
3,21900304,200794,"Millsap, Paul",Denver Nuggets,1610612743,DEN,made,1,"Barton, Will",203115,0.156,5,1,1,2,0.5,0,0,0.0,1,2,0.5,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Paul Millsap,nan,F,nan,29:59:00,8.0,14.0,0.571,2.0,3.0,0.667,3.0,3.0,1.0,2.0,6.0,8.0,2.0,1.0,1.0,3.0,4.0,21.0,-2.0,Forward,0.08277631578947353,0.09808825939951168,0.7465081413290019
4,21900304,203115,"Barton, Will",Denver Nuggets,1610612743,DEN,made,1,"Morris, Monte",1628420,0.065,3,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Will Barton,nan,F,nan,37:28:00,2.0,11.0,0.182,1.0,8.0,0.125,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,5.0,-2.0,Guard,0.07579927228623384,0.07772953644911912,-0.13893395972202824
5,21900304,203115,"Barton, Will",Denver Nuggets,1610612743,DEN,made,1,"Murray, Jamal",1627750,0.217,10,0,0,2,0.0,0,2,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Will Barton,nan,F,nan,37:28:00,2.0,11.0,0.182,1.0,8.0,0.125,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,5.0,-2.0,Guard,0.07579927228623384,0.07772953644911912,1.8165646440744512
6,21900304,203115,"Barton, Will",Denver Nuggets,1610612743,DEN,made,1,"Beasley, Malik",1627736,0.022,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Will Barton,nan,F,nan,37:28:00,2.0,11.0,0.182,1.0,8.0,0.125,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,5.0,-2.0,Guard,0.07579927228623384,0.07772953644911912,-0.6921342226381376
7,21900304,203115,"Barton, Will",Denver Nuggets,1610612743,DEN,made,1,"Jokic, Nikola",203999,0.348,16,0,0,2,0.0,0,2,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Will Barton,nan,F,nan,37:28:00,2.0,11.0,0.182,1.0,8.0,0.125,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,5.0,-2.0,Guard,0.07579927228623384,0.07772953644911912,3.501895677609575
8,21900304,203115,"Barton, Will",Denver Nuggets,1610612743,DEN,made,1,"Harris, Gary",203914,0.065,3,0,0,1,0.0,0,0,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Will Barton,nan,F,nan,37:28:00,2.0,11.0,0.182,1.0,8.0,0.125,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,5.0,-2.0,Guard,0.07579927228623384,0.07772953644911912,-0.13893395972202824
9,21900304,203115,"Barton, Will",Denver Nuggets,1610612743,DEN,made,1,"Plumlee, Mason",203486,0.109,5,2,2,2,1.0,2,2,1.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612743,DEN,Denver,Will Barton,nan,F,nan,37:28:00,2.0,11.0,0.182,1.0,8.0,0.125,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,5.0,-2.0,Guard,0.07579927228623384,0.07772953644911912,0.42713142558747896
