,GAME_ID,PLAYER_ID,PLAYER_NAME_LAST_FIRST_home,TEAM_NAME_home,TEAM_ID_home,TEAM_ABBREVIATION_home,PASS_TYPE_home,G_home,PASS_TO_home,PASS_TEAMMATE_PLAYER_ID_home,FREQUENCY_home,PASS_home,AST_home,FGM_home,FGA_home,FG_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,PLAYER_NAME_LAST_FIRST_away,TEAM_NAME_away,TEAM_ID_away,TEAM_ABBREVIATION_away,PASS_TYPE_away,G_away,PASS_TO_away,PASS_TEAMMATE_PLAYER_ID_away,FREQUENCY_away,PASS_away,AST_away,FGM_away,FGA_away,FG_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,POSITION,mean,std,
13,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.14,7,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
14,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.12,6,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
15,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.38,19,5,7,11,0.636,7,10,0.7,0,1,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
16,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"Morris, Markieff",202693,0.1,5,1,1,2,0.5,0,0,0,1,2,0.5,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
17,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"Green, Danny",201980,0.04,2,0,0,2,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
18,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,0.04,2,1,1,2,0.5,1,2,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
19,41900311,200765,"Rondo, Rajon",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,0.1,5,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Rajon Rondo,nan,nan,nan,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13,Guard,0.075799272,0.077729536,
20,41900311,201162,"Dudley, Jared",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Jared Dudley,nan,nan,nan,04:08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9,Forward,0.082776316,0.098088259,
21,41900311,201162,"Dudley, Jared",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.2,2,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Jared Dudley,nan,nan,nan,04:08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9,Forward,0.082776316,0.098088259,
22,41900311,201162,"Dudley, Jared",Los Angeles Lakers,1610612747,LAL,made,1,"Cook, Quinn",1626188,0.4,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Jared Dudley,nan,nan,nan,04:08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9,Forward,0.082776316,0.098088259,
