,PLAYER_ID_home,PLAYER_NAME_LAST_FIRST_home,TEAM_NAME_home,TEAM_ID_home,TEAM_ABBREVIATION_home,PASS_TYPE_home,G_home,PASS_TO_home,PASS_TEAMMATE_PLAYER_ID_home,FREQUENCY_home,PASS_home,AST_home,FGM_home,FGA_home,FG_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,GAME_ID,PLAYER_ID_away,PLAYER_NAME_LAST_FIRST_away,TEAM_NAME_away,TEAM_ID_away,TEAM_ABBREVIATION_away,PASS_TYPE_away,G_away,PASS_TO_away,PASS_TEAMMATE_PLAYER_ID_away,FREQUENCY_away,PASS_away,AST_away,FGM_away,FGA_away,FG_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,POSITION_home,mean_x,std_x,POSITION_away,mean_y,std_y
445,203999,"Jokic, Nikola",Denver Nuggets,1610612743,DEN,made,1,"Murray, Jamal",1627750,3.530266935,37,2,4,8,0.5,4,6,0.667,0,2,0,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,-0.589213243,1,0,0,0,0,0,0,0,0,0,0,Center,0.08821875,0.112960651,Guard,0.075799272,0.077729536
446,203999,"Jokic, Nikola",Denver Nuggets,1610612743,DEN,made,1,"Beasley, Malik",1627736,-0.665884532,1,0,0,1,0,0,0,0,0,1,0,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.581512894,4,0,0,1,0,0,0,0,0,1,0,Center,0.08821875,0.112960651,Guard,0.075799272,0.077729536
447,203999,"Jokic, Nikola",Denver Nuggets,1610612743,DEN,made,1,"Harris, Gary",203914,0.502663978,11,4,4,7,0.571,3,6,0.5,1,1,1,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.195559223,3,1,2,2,1,2,2,1,0,0,0,Center,0.08821875,0.112960651,Guard,0.075799272,0.077729536
448,203999,"Jokic, Nikola",Denver Nuggets,1610612743,DEN,made,1,"Barton, Will",203115,1.432191202,19,1,1,3,0.333,1,1,1,0,2,0,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"McGee, JaVale",201580,0.980331689,5,0,0,1,0,0,1,0,0,0,0,Center,0.08821875,0.112960651,Guard,0.075799272,0.077729536
449,203999,"Jokic, Nikola",Denver Nuggets,1610612743,DEN,made,1,"Millsap, Paul",200794,-0.1966946,5,0,0,2,0,0,2,0,0,0,0,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,-0.190394449,2,0,0,0,0,0,0,0,0,0,0,Center,0.08821875,0.112960651,Guard,0.075799272,0.077729536
450,203914,"Harris, Gary",Denver Nuggets,1610612743,DEN,made,1,"Murray, Jamal",1627750,-0.113203715,1,0,0,0,0,0,0,0,0,0,0,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,-0.589213243,1,0,0,0,0,0,0,0,0,0,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
451,203914,"Harris, Gary",Denver Nuggets,1610612743,DEN,made,1,"Jokic, Nikola",203999,5.88194332,8,0,0,2,0,0,2,0,0,0,0,21900304,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,5.650371117,17,2,3,3,1,3,3,1,0,0,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
452,203914,"Harris, Gary",Denver Nuggets,1610612743,DEN,made,1,"Barton, Will",203115,0.735894363,2,0,0,2,0,0,1,0,0,1,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,-0.602078366,1,0,0,0,0,0,0,0,0,0,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
453,203914,"Harris, Gary",Denver Nuggets,1610612743,DEN,made,1,"Millsap, Paul",200794,2.459820764,4,0,0,0,0,0,0,0,0,0,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,2.434090519,9,0,0,4,0,0,3,0,0,1,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
454,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Beasley, Malik",1627736,-0.563482999,2,0,0,2,0,0,2,0,0,0,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Green, Danny",201980,0.156963855,3,0,0,1,0,0,0,0,0,1,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
